user_id,count_item,sum_price,recommend_percentage
--000--,58,397.78000000000003,100.0
--ace--,44,166.82,100.0
--ionex--,23,99.92999999999999,100.0
-2SV-vuLB-Kg,68,427.5,100.0
-404PageNotFound-,149,1509.32,
-AnimeIsMyThing-,127,1194.44,
-Azsael-,167,2381.7,100.0
-Beave-,47,54.95,100.0
-Encore-,24,277.79,
-GM-Dragon,106,822.47,50.0
-I_AM_EPIC-,20,129.94,100.0
-JT,26,224.87,
-Kenny,118,1538.1399999999999,100.0
-KillZone-,114,1220.29,
-Mad-,367,3645.21,100.0
-Naughty-,62,467.77,
-PRoSlayeR-,529,2515.36,50.0
-SEVEN-,394,3523.31,77.77777777777779
-SatansLittleHelper-,28,323.78,100.0
-Thyme-,43,514.69,100.0
-Ultrix,131,1392.92,100.0
-Uplink-,123,1511.18,
-Zovix-,51,224.87,100.0
-_PussyDestroyer_-,51,355.69,60.0
-_skIzZ_-,40,374.81,
-fastrvrs-,18,195.89000000000001,
-iBubble,15,127.88,
-kainey9777,69,1022.54,100.0
-xKyox-,49,195.85,
0-3-0,139,1639.94,100.0
00000000000000000001227,93,1037.3,100.0
00000003010,59,331.7,
0000FF,25,144.91,
000Infinity000,30,109.97,
001000111000111000010,71,728.42,100.0
001002130882,3,14.99,
001010001,48,320.82,
0041287,34,144.92,
00454211432342,24,137.88,50.0
005577,231,2911.27,
00690069006900,102,796.36,100.0
0071945,373,4935.83,
007Pro,1,,
007james_bond,178,2123.61,
007thesilence,49,596.67,
00810cccyyykkk,7,19.98,100.0
008port,71,418.67,
0099654321891111,23,188.86,100.0
00True,28,302.86,100.0
00nana,9,29.979999999999997,
01001000-01101001,88,1333.22,100.0
010195345,2,0.0,
0102705195,3,0.0,
010607,28,215.81,
011000100001000111,76,771.56,
011011010111001000101110,26,101.88,100.0
011111135489484797,5,29.979999999999997,100.0
01120477677,29,233.88,
0112937783,31,429.81,
01189958889189157253,159,1774.79,83.33333333333334
0118999881999119,139,1314.94,
01221733,125,558.61,100.0
0136849195,62,128.92,100.0
01398279857934,11,14.99,
018302,42,502.67999999999995,
01shan,5,24.98,100.0
0212030,7,104.94999999999999,
022899,80,1133.4,100.0
0248359,10,223.88,
025652,3,0.0,
0271975108,62,669.6899999999999,
0305089,97,582.5600000000001,
03092002,24,255.89,100.0
03375616256,2,9.99,
0402593613,6,19.98,
04061993,214,1014.31,100.0
04092013,128,592.1,100.0
041112016,98,1379.26,
0412734634,20,59.96,100.0
0412827540,27,144.91,
042153100,118,1522.23,50.0
0421874858,31,342.78999999999996,
04280122,113,1185.4,100.0
0432-026-no,14,79.93,100.0
04536829290339393838,28,130.89,
0468313256,86,99.88,100.0
0488456,22,249.85999999999999,
05041129,70,277.78,66.66666666666666
05041129,70,277.78,66.66666666666666
05461025,53,555.6,100.0
05511301,159,1577.73,
05zhehan,16,89.94999999999999,
066600,72,468.8,
0700464574757,48,383.71999999999997,100.0
07846813956825,92,1141.33,0.0
0800135723,1,,
0814551,48,171.89000000000001,
0827777,11,0.99,
0833422708,1,,
0854029092,5,19.99,100.0
0862770364,23,148.92,
0896398616,184,1119.69,100.0
0898786879898,7,69.96,
08alross,313,4130.66,
0903512455,41,199.85,100.0
09106,176,1152.1,100.0
091263,369,3008.85,100.0
092688110,1,,
092982943,28,94.93,
0935659130,59,466.76,
094553552,89,689.55,100.0
095732,30,179.85999999999999,66.66666666666666
095843067,239,2645.61,100.0
098765432108642,12,179.91,
09876543231,25,215.83,100.0
098766catdogbnmnnn,42,227.84,100.0
09895749373554,33,345.74,
0996633,56,601.6999999999999,
0FI3MWAJS2849023N,36,331.78,
0fficiaIfIaw,23,38.97,
0nlyb0nes,22,224.91,
0rangeZ3r0,29,143.88,
0x0B00B135,59,500.62,
0x426F,149,1728.83,
1-800-Invisible,536,5822.0,
10000000thVisitor,106,1105.18,100.0
1000000sdsd,22,54.97,
100002077293140,1,,
100011101011,31,347.84,
1000jaus,50,642.64,
1001101001110101,286,3368.63,0.0
100355,50,524.66,
10051997,130,1249.17,100.0
10101010101010109,307,3721.1,100.0
101010101111,42,382.8,100.0
101010102,8,70.93,
1010102,45,223.85,
101013483181348,7,14.99,
1010231464,9,44.97,
1011001,128,1223.17,90.0
1011010101101101010101,52,634.53,
1011012001,14,49.96,
101316,21,254.84,
1016523030,6,0.0,100.0
101676057,29,270.86,
10197226,36,271.74,100.0
101thegreenguy,98,1272.6,
102547508,13,19.99,
102598615,45,161.85999999999999,100.0
1032165460,7,64.95,
1052218979baidu,21,242.85999999999999,
10817,38,334.8,
109284293753647,150,1837.9099999999999,
10936543792,109,1033.25,100.0
10948278193,31,69.96,
109654,1,,
109leonidas,178,1841.86,
10Degree,150,1238.08,100.0
10gp,21,169.89,
10outof10matee,112,1209.24,
10oyard,20,209.88,100.0
11010011011,140,1603.01,
1101167413,42,533.65,
110211021,73,488.62,50.0
110321565469,76,817.99,
1103703132946,65,722.55,100.0
111190869,62,798.56,100.0
111222333222111,28,274.83,
111222333444555666888,104,1151.3799999999999,85.71428571428571
111222333444555666888,104,1151.3799999999999,85.71428571428571
11123xxx3122,10,59.95,
11124,44,440.71,0.0
11141995,47,566.58,
111s,242,2271.23,
111zerosen,65,419.52,100.0
1122305938,177,2374.75,75.0
112asdasfasdasd,23,0.0,100.0
11345678,34,247.85999999999999,
113595,76,1059.41,100.0
1136579070,82,686.5899999999999,100.0
11464789,37,301.79,
11567jj,102,466.73999999999995,100.0
1163321,56,361.81,
117007,15,129.92,
117331,67,341.75,100.0
117a2,11,119.92999999999999,
117arbiter,166,1600.5,100.0
11925219096,70,692.62,100.0
119922883377446655123456789,60,263.82,0.0
11XGX,215,2705.2999999999997,50.0
12021988,3,0.0,
120445,120,935.77,100.0
120488700,21,264.92,100.0
12110604,16,194.89,
1212343456567878909,33,340.82,100.0
12123871234989120,33,147.88,
12125,126,1347.17,100.0
1214551565454556,4,0.0,
121478,129,1599.2,
121598558,9,0.0,
12223536,177,2041.11,50.0
122249_700b,38,318.74,
122799,17,54.97,
123123123131231231,43,295.87,100.0
12312312332123,31,205.86,100.0
12312341244123,50,519.77,
1231343263534243534,48,540.65,
123232343432555686888554456555,65,623.67,100.0
1232999,64,732.67,
12332165478953761,59,763.51,100.0
1233451231252123,77,204.91,
1233zaazen,33,390.8,
12341008,3,14.99,
12341846,28,301.77,100.0
1234321115,46,524.68,
1234455565,2,19.99,
12345123456,33,312.82,
1234567124567,38,439.76,
12345676543456789098543,73,437.71,100.0
1234567810132,48,144.85,100.0
123456787654329,131,1328.24,
12345678901234567890123456567890,206,2789.4,85.71428571428571
1234567890192837465,98,860.52,100.0
1234567890qweccrtht,41,377.78999999999996,
1234567890qwertyuiop,4,34.98,
12345678910123,2,4.99,
12345678910a,81,1163.3999999999999,100.0
1234567898354127873,10,44.95,
123456789874561232145678,269,2847.09,100.0
123456789_Kappa,37,410.25,
123456789diamond987654321,71,700.54,100.0
1234567io9872345678765432,155,1356.08,87.5
12345gh,17,204.92000000000002,
1234865654,76,463.64,100.0
1234derpaa,44,434.72999999999996,
12391939123,124,824.91,100.0
12398uf8jg21390,35,307.78,100.0
12399017,25,160.83,
123abc321,2,0.0,
123abccba,91,1005.42,
123amazing123,48,315.85,
123curssin123,52,409.81,
123franz789,15,54.97,
123joshua321,87,940.3,100.0
123repulseMe,137,1087.25,100.0
123sharpshooter123,2,0.0,
1242163634531636,2,9.98,
12435674325tyughnb,43,480.71999999999997,
12435gg,107,482.69,
124653tf,8,129.97,
124681,3,19.99,
1249012512908890112890,75,745.08,
124c7937,2,0.0,
12524,81,298.8,
12536475869trhgsdf,99,559.46,100.0
12549,64,223.88,
12779,105,787.48,80.0
128463821947,10,69.97,
12874175635ELITE,2,4.99,
128bitbit,162,289.8,
1294120970512,49,515.67,
129874182,155,1695.91,100.0
12DeAgostoAs12HRSe26MIN,35,280.78,100.0
12_gauge_org,48,287.89,100.0
12das,20,44.96,100.0
1300655506nigga,41,312.72,100.0
13012,128,1322.22,
131312,135,1668.07,77.77777777777779
1313Lcf,144,1982.87,
131467132,56,448.77,100.0
13199708,139,1843.93,
1321742413,66,238.85,80.0
132413244231,43,351.77,
13272310,56,169.94,
13371337133713337,18,139.97,
133742069174,95,1028.51,100.0
1337666133766613376661337,113,1367.1499999999999,100.0
133774553644535355354,5,9.99,
