item_id,sumatoria_horas
10,17386015
20,961702
30,758991
40,154486
50,734562
60,158238
70,2682852
130,441468
300,6137875
240,112612047
3830,989774
2630,436234
3900,727946
34440,59377
3920,430435
6400,24380
6910,570005
7670,2710399
409710,54181
220,10857733
320,2848066
340,345172
360,108679
380,1983285
400,5230153
420,2589554
9340,829672
228200,4969439
11450,397501
7940,2469608
4700,5108834
12900,1740405
13250,24185
16100,3572
15700,268935
15710,154058
17330,183679
17340,46425
22000,258264
500,13079802
4560,2003180
17460,2902819
10500,9994588
24740,2143124
22200,131103
26800,345360
1250,29992582
35420,119639
3590,3475589
8880,34129
8890,13619
23120,21113
35700,562302
10140,9212
35010,169078
35140,2834784
29180,77230
15520,106328
32370,2912916
37700,34587
6020,1323500
24860,1033103
39530,85197
550,102189423
223530,142357
8980,11488444
41500,1775093
20900,2491856
10180,5547750
10190,38277867
17450,2583332
3170,115947
25900,247515
31410,102465
24980,4392431
8850,1472716
409720,8111
46000,9069
33230,3223344
20820,54569
47700,209578
24960,14029856
43110,2604580
8190,13569635
49600,493469
31220,57895
31230,36656
31240,33143
31250,29344
31260,22280
21090,348486
21110,60094
21120,64217
49400,243055
33910,4154131
33930,40473489
219540,1375563
17410,2884325
205790,545892
50130,2824310
62100,60610
31280,1955381
57300,1429339
21970,1269206
8930,82380684
41000,423155
41050,59140
41060,37209
227780,44609
18040,59211
22380,34473323
42700,8752303
42710,24607492
62000,32188
40800,2463335
9500,12350
18700,35790
31270,60636
58200,13390
70400,563410
41300,321753
41800,306999
42500,35524
49900,44755
55000,14146
34330,15089926
63200,494279
99810,357981
620,26439449
42910,7029628
15500,34115
15540,35774
18500,1242313
26500,61817
35460,57795
38700,75581
38720,98594
63700,75019
280,495306
20920,4900560
105600,154974541
98200,400447
4500,1002556
4540,538970
4550,1022013
9480,3272282
15620,6080569
20500,1230712
20570,3317749
50620,1673629
55100,659798
55140,701010
56400,8134892
475150,163930
96100,133763
35450,9225814
236830,329115
