user_id,recommend_percentage
76561197970982479,100.0
js41637,100.0
evcentric,100.0
doctr,100.0
maplemage,100.0
Wackky,100.0
76561198079601835,100.0
MeaTCompany,100.0
76561198089393905,100.0
76561198156664158,100.0
76561198077246154,100.0
WeiEDKrSat,100.0
thequeenpanda,100.0
death-hunter,100.0
DJKamBer,100.0
Rainbow-Dashie,100.0
76561198043472122,0.0
MarbleShrine,100.0
PPanther,100.0
devvonst,100.0
Fr0stedLine,100.0
starkillershadow553,100.0
76561198058373434,100.0
76561198048353577,100.0
76561198066046412,50.0
tru_mu_,100.0
76561198070565427,80.0
SavageEeEe,100.0
76561198076909484,100.0
KanadeTheNeko,100.0
Leaf_Light_Moscow,100.0
GoAwayZach,100.0
76561198054540475,100.0
76561198085547365,100.0
76561198061252210,100.0
OfficialShroomsy,100.0
boydeer,50.0
VVillis,100.0
76561198083226897,100.0
76561198075277292,100.0
76561198028895010,100.0
76561198170198366,100.0
diego9031,100.0
jarrodtrim,100.0
76561198078738103,100.0
76561198067936203,100.0
76561198079770573,100.0
76561198087586464,100.0
Derp-e,100.0
76561198070194565,100.0
Rivtex,100.0
UTNerd24,100.0
sandwiches1,0.0
76561198138053270,100.0
lucaswerg,100.0
Life-Of-Blu,100.0
CaptianAutismo,100.0
76561198075895633,100.0
TheDropix101,100.0
kube134,100.0
iamthekingofbrowntown,75.0
MainScout,100.0
gdxsd,0.0
yookobz,100.0
Posiblydead,100.0
Mossy_Gaming,100.0
76561198102421718,100.0
76561198087407319,100.0
76561198056741844,100.0
sad-commie,100.0
76561198030567998,100.0
76561198010674657,50.0
Coldaniel,100.0
therealmorty,100.0
Berserklejerker,100.0
76561198061730629,100.0
YoHuNz,100.0
possessioniskey,100.0
76561198093112529,100.0
76561198060447950,100.0
whiteofwolfing,100.0
sergarino,100.0
76561198081962345,100.0
76561198094224872,0.0
76561198073210139,100.0
Nozomikat,87.5
xfluttersx,85.71428571428571
76561198056290589,100.0
ii_voltage_ii,75.0
76561198097762318,100.0
Hirukaz,100.0
StelerForYou,100.0
76561198183396245,100.0
Xx-Woods,87.5
kevinator23,100.0
76561198090715178,100.0
CatsWhale,100.0
76561198073784601,50.0
mimimomoma,100.0
76561198102410011,100.0
de_Butl3r,100.0
76561198027947401,100.0
Bluezap1,100.0
76561198074200011,100.0
jonasdbomb,100.0
L1J1N,100.0
Lord_Exploit,100.0
AVATAR715,87.5
YieuwMage,100.0
76561198078752187,100.0
A-Very-Sly-Person,100.0
76561198211054671,100.0
76561197994493402,100.0
Koolcaz12,0.0
76561198065656175,100.0
76561198188979775,100.0
97396295,50.0
76561198126640317,100.0
DemonicWolvz,100.0
DieMadchenschanderin,50.0
GGargula,50.0
Myther43,100.0
getf0kinn0sc0pedm9,50.0
76561198141443390,100.0
76561198097333029,100.0
whodafuqisthisguilao,100.0
Magjiikal,100.0
ohnospaghet,83.33333333333334
76561198050347115,100.0
2768820078,80.0
76561198056392326,33.33333333333333
